SN,Side,one_pixel_number,two_pixel_number,three_pixel_number,four_pixel_number,one_pixel_number_w,two_pixel_number_w,three_pixel_number_w,four_pixel_number_w,Accurate,Accurate_w 
QA9Q230519001,L,0,1,0,0,0,0,0,0,0.9448051948051948,0.9541666666666667 
QA9Q230519001,R,0,0,0,0,0,0,0,0,0.9252548131370328,0.946524064171123 
QA9Q230519002,L,0,0,0,0,0,0,0,0,0.9409190371991247,0.9322916666666666 
QA9Q230519002,R,1,0,0,0,0,0,0,0,0.9527472527472527,0.9409905163329821 
QA9Q230519003,L,0,0,0,0,0,0,0,0,0.9635761589403974,0.9369085173501577 
QA9Q230519003,R,0,0,0,0,0,0,0,0,0.9240924092409241,0.9286463798530955 
QA9Q230519004,L,1,0,0,0,0,0,0,0,0.9363538295577131,0.9455292908530318 
QA9Q230519004,R,0,0,0,0,0,0,0,0,0.9319955406911928,0.9015873015873016 
QA9Q230519005,R,0,0,0,0,0,0,0,0,0.9618320610687023,0.9102167182662538 
QA9Q230519006,L,0,0,0,0,0,0,0,0,0.9378468368479467,0.935251798561151 
QA9Q230519006,R,1,0,0,0,0,0,0,0,0.9580645161290322,0.9647668393782384 
QA9Q230519007,L,1,0,0,0,0,0,0,0,0.9178228388473852,0.9626168224299065 
QA9Q230519007,R,0,0,0,0,0,0,0,0,0.927710843373494,0.950682056663169 
QA9Q230519008,L,0,0,0,0,0,0,0,0,0.9155446756425949,0.9321266968325792 
QA9Q230519008,R,3,0,0,0,0,0,0,0,0.9556103575832305,0.9193548387096774 
QA9Q230519009,L,0,0,0,0,0,0,0,0,0.9272930648769575,0.946524064171123 
QA9Q230519009,R,0,0,0,0,0,0,0,0,0.9336384439359268,0.8932346723044398 
QA9Q230519010,L,0,0,0,0,0,0,0,0,0.9489130434782609,0.9552083333333333 
QA9Q230519010,R,0,0,0,0,0,0,0,0,0.9679558011049724,0.8948475289169295 
QA9Q230519011,L,0,0,0,0,0,0,0,0,0.9325481798715204,0.9616580310880829 
QA9Q230519011,R,1,0,0,0,0,0,0,0,0.9120521172638436,0.9814241486068112 
QA9Q230519012,L,0,0,0,0,0,0,0,0,0.9468546637744034,0.9240374609781478 
QA9Q230519012,R,1,0,0,0,0,0,0,0,0.9646799116997793,0.8992731048805815 
QA9Q230519013,R,2,0,0,0,0,0,0,0,0.9003285870755751,0.9439252336448598 
QA9Q230519014,L,0,0,0,0,0,0,0,0,0.9575163398692811,0.9190871369294605 
QA9Q230519014,R,0,0,0,0,0,0,0,0,0.9157175398633257,0.9639065817409767 
QA9Q230519015,L,1,0,0,0,0,0,0,0,0.9474835886214442,0.9559748427672956 
QA9Q230519015,R,0,0,0,0,0,0,0,0,0.9301310043668122,0.9122807017543859 
QA9Q230519016,L,4,0,0,0,0,0,0,0,0.9359243697478992,0.94824016563147 
QA9Q230519016,R,0,0,0,0,0,0,0,0,0.9488574537540805,0.9709241952232607 
QA9Q230519017,L,1,0,0,0,0,0,0,0,0.9656319290465631,0.9195767195767196 
QA9Q230519017,R,0,0,0,0,0,0,0,0,0.9601769911504425,0.9602094240837696 
QA9Q230519018,L,0,0,0,0,0,0,0,0,0.9222577209797657,0.9401015228426396 
QA9Q230519018,R,0,0,0,0,0,0,0,0,0.924892703862661,0.949738219895288 
QA9Q230519019,L,0,0,0,0,0,0,0,0,0.9509476031215162,0.9459172852598091 
QA9Q230519019,R,3,0,0,0,0,0,0,0,0.9737991266375546,0.9273684210526316 
QA9Q230519020,L,0,0,0,0,0,0,0,0,0.9286498353457738,0.9205020920502092 
QA9Q230519020,R,0,0,0,0,0,0,0,0,0.9291938997821351,0.9542143600416233 
QA9Q230520001,L,0,0,0,0,0,0,0,0,0.9600420609884333,0.9155509783728115 
QA9Q230520001,R,0,0,0,0,0,0,0,0,0.9361471861471862,0.9436913451511991 
QA9Q230520002,L,1,0,0,0,0,0,0,0,0.9453551912568307,0.9538300104931794 
QA9Q230520002,R,0,0,0,0,0,0,0,0,0.9463087248322147,0.9369747899159664 
QA9Q230520003,L,0,0,0,0,0,0,0,0,0.8536009445100354,0.8665231431646933 
QA9Q230520003,R,0,0,0,0,0,0,0,0,0.9570484581497798,0.9093782929399368 
QA9Q230520004,L,0,0,0,0,0,0,0,0,0.9397590361445783,0.9511677282377919 
QA9Q230520004,R,0,0,0,0,0,0,0,0,0.813599062133646,0.8054679284963197 
QA9Q230520005,L,1,0,0,0,0,0,0,0,0.9601293103448276,0.9585921325051759 
QA9Q230520005,R,0,0,0,0,0,0,0,0,0.9558665231431647,0.949685534591195 
QA9Q230520006,L,0,0,0,0,0,0,0,0,0.9475409836065574,0.9519331243469175 
QA9Q230520006,R,0,0,0,0,0,0,0,0,0.9531772575250836,0.9411146161934806 
QA9Q230520007,L,1,0,0,0,0,0,0,0,0.9591397849462365,0.9486910994764398 
QA9Q230520007,R,1,0,0,0,0,0,0,0,0.961081081081081,0.9391395592864638 
QA9Q230520008,L,2,0,0,0,0,0,0,0,0.9484083424807903,0.9440928270042194 
QA9Q230520008,R,0,0,0,0,0,0,0,0,0.9520174482006543,0.9757894736842105 
QA9Q230520009,L,0,0,0,0,0,0,0,0,0.961038961038961,0.9426485922836287 
QA9Q230520009,R,0,0,0,0,0,0,0,0,0.9509132420091324,0.907725321888412 
QA9Q230520010,L,0,0,0,0,0,0,0,0,0.93058568329718,0.9478079331941545 
QA9Q230520010,R,0,0,0,0,0,0,0,0,0.9278350515463918,0.9439655172413793 
QA9Q230520011,L,0,0,0,0,0,0,0,0,0.9709677419354839,0.934375 
QA9Q230520011,R,1,0,0,0,0,0,0,0,0.9619978284473398,0.9748953974895398 
QA9Q230520013,L,0,0,0,0,0,0,0,0,0.9599133261105092,0.9577613516367476 
QA9Q230520013,R,0,0,0,0,0,0,0,0,0.9213872832369943,0.9289501590668081 
QA9Q230520014,L,0,0,0,0,0,0,0,0,0.9150110375275938,0.9277486910994764 
QA9Q230520014,R,0,0,0,0,0,0,0,0,0.9625550660792952,0.9577167019027484 
QA9Q230520015,L,0,0,0,0,0,0,0,0,0.9668094218415417,0.9256198347107438 
QA9Q230520015,R,0,0,0,0,0,0,0,0,0.9494949494949495,0.9282744282744283 
QA9Q230520017,L,0,0,0,0,0,0,0,0,0.9543478260869566,0.952928870292887 
QA9Q230520017,R,1,0,0,0,0,0,0,0,0.9140893470790378,0.9169329073482428 
QA9Q230520018,L,0,1,0,0,0,0,0,0,0.9459459459459459,0.9499478623566214 
QA9Q230520018,R,0,0,0,0,0,0,0,0,0.8061104582843713,0.884133611691023 
QA9Q230520019,L,0,0,0,0,0,0,0,0,0.9653243847874721,0.9302083333333333 
QA9Q230520019,R,0,0,0,0,0,0,0,0,0.9621802002224694,0.9327641408751334 
QA9Q230520020,L,0,0,0,0,0,0,0,0,0.9383116883116883,0.9503105590062112 
QA9Q230520020,R,0,0,0,0,0,0,0,0,0.9536199095022625,0.9225053078556263 
QA9Q230520021,L,0,0,0,0,0,0,0,0,0.9719222462203023,0.9321503131524008 
QA9Q230520021,R,0,0,0,0,0,0,0,0,0.9702643171806168,0.946875 
